,Airline,Total_Stops,Price,j_month,j_date,a_total_min,d_total_min,dur_min,dur_hour,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,s_Banglore,s_Chennai,s_Delhi,s_Kolkata,s_Mumbai
0,3,0,3897,3,24,70,1340,50,2,0,0,0,0,0,1,1,0,0,0,0
1,1,2,7662,5,1,795,350,25,7,1,0,0,0,0,0,0,0,0,1,0
2,4,2,13882,6,9,265,565,0,19,0,1,0,0,0,0,0,0,1,0,0
3,3,1,6218,5,12,1410,1085,25,5,1,0,0,0,0,0,0,0,0,1,0
4,3,1,13302,3,1,1295,1010,45,4,0,0,0,0,0,1,1,0,0,0,0
5,8,0,3873,6,24,685,540,25,2,1,0,0,0,0,0,0,0,0,1,0
6,4,1,11087,3,12,625,1135,30,15,0,0,0,0,0,1,1,0,0,0,0
7,4,1,22270,3,1,305,480,5,21,0,0,0,0,0,1,1,0,0,0,0
8,4,1,11087,3,12,625,535,30,25,0,0,0,0,0,1,1,0,0,0,0
9,6,1,8625,5,27,1155,685,50,7,0,1,0,0,0,0,0,0,1,0,0
10,1,1,8907,6,1,1380,585,15,13,0,1,0,0,0,0,0,0,1,0,0
11,3,0,4174,4,18,1375,1220,35,2,1,0,0,0,0,0,0,0,0,1,0
12,1,0,4667,6,24,835,700,15,2,0,0,0,0,1,0,0,1,0,0,0
13,4,1,9663,5,9,560,1270,10,12,1,0,0,0,0,0,0,0,0,1,0
14,3,0,4804,4,24,1190,1035,35,2,1,0,0,0,0,0,0,0,0,1,0
15,1,2,14011,3,3,1155,1000,35,26,0,1,0,0,0,0,0,0,1,0,0
16,8,1,5830,4,15,795,525,30,4,0,1,0,0,0,0,0,0,1,0,0
17,4,1,10262,6,12,755,840,35,22,0,1,0,0,0,0,0,0,1,0,0
18,1,2,13381,6,12,1155,1215,0,23,0,1,0,0,0,0,0,0,1,0,0
19,4,1,12898,5,27,755,960,35,20,0,1,0,0,0,0,0,0,1,0,0
20,2,1,19495,3,6,1160,850,10,5,0,1,0,0,0,0,0,0,1,0,0
21,1,1,6955,3,21,800,1320,20,15,0,0,0,0,0,1,1,0,0,0,0
22,3,0,3943,4,3,410,240,50,2,0,0,1,0,0,0,1,0,0,0,0
23,3,0,4823,5,1,1310,1135,55,2,0,0,1,0,0,0,1,0,0,0,0
24,4,1,7757,5,6,495,1135,20,13,1,0,0,0,0,0,0,0,0,1,0
25,4,2,13292,6,9,755,1285,10,15,0,1,0,0,0,0,0,0,1,0,0
26,3,1,8238,6,1,215,1310,45,5,0,1,0,0,0,0,0,0,1,0,0
27,2,1,7682,5,15,775,420,55,5,0,1,0,0,0,0,0,0,1,0,0
28,10,0,4668,6,18,755,585,50,2,0,0,1,0,0,0,1,0,0,0,0
29,10,0,3687,6,15,560,425,15,2,0,0,0,0,1,0,0,1,0,0,0
30,10,0,3687,6,18,560,425,15,2,0,0,0,0,1,0,0,1,0,0,0
31,1,2,13227,5,1,1395,590,25,13,1,0,0,0,0,0,0,0,0,1,0
32,3,0,4423,4,6,410,240,50,2,0,0,1,0,0,0,1,0,0,0,0
33,4,2,10919,6,15,755,875,0,22,0,1,0,0,0,0,0,0,1,0,0
34,4,1,12373,5,18,755,425,30,5,0,1,0,0,0,0,0,0,1,0,0
35,3,1,5894,6,27,1260,635,25,10,0,1,0,0,0,0,0,0,1,0,0
36,8,1,4649,5,21,1220,905,15,5,1,0,0,0,0,0,0,0,0,1,0
37,1,0,6245,5,18,1005,855,30,2,1,0,0,0,0,0,0,0,0,1,0
38,4,1,19225,3,6,795,420,15,6,0,0,0,0,0,1,1,0,0,0,0
39,4,1,14924,6,3,1140,425,55,11,0,1,0,0,0,0,0,0,1,0,0
40,6,1,9646,5,21,1090,425,5,11,0,1,0,0,0,0,0,0,1,0,0
41,1,1,8714,3,15,915,405,30,8,0,0,0,0,0,1,1,0,0,0,0
42,4,1,12373,5,18,1140,1255,5,22,0,1,0,0,0,0,0,0,1,0,0
43,0,0,3383,5,6,835,670,45,2,0,0,1,0,0,0,1,0,0,0,0
44,6,1,13062,3,21,1260,540,0,12,0,1,0,0,0,0,0,0,1,0,0
45,8,0,3527,3,24,515,345,50,2,0,0,0,0,0,1,1,0,0,0,0
46,3,0,3943,5,27,410,240,50,2,0,0,1,0,0,0,1,0,0,0,0
47,1,0,4667,5,3,835,700,15,2,0,0,0,0,1,0,0,1,0,0,0
48,1,1,6117,5,15,665,1140,5,16,1,0,0,0,0,0,0,0,0,1,0
49,4,2,11150,6,27,1140,1385,55,19,0,1,0,0,0,0,0,0,1,0,0
50,4,0,7202,3,9,855,660,15,3,0,1,0,0,0,0,0,0,1,0,0
51,4,1,12121,5,1,655,575,20,25,1,0,0,0,0,0,0,0,0,1,0
52,3,0,4377,3,24,70,1340,50,2,0,0,0,0,0,1,1,0,0,0,0
53,3,0,3943,6,18,15,1275,0,3,0,0,1,0,0,0,1,0,0,0,0
54,0,0,4483,4,3,165,1435,50,2,0,0,1,0,0,0,1,0,0,0,0
55,4,1,14231,3,24,720,1185,15,16,1,0,0,0,0,0,0,0,0,1,0
56,1,2,17345,3,1,1435,530,5,15,0,0,0,0,0,1,1,0,0,0,0
57,10,0,7414,3,6,560,425,15,2,0,0,0,0,1,0,0,1,0,0,0
58,6,1,8073,5,6,90,1140,30,6,0,1,0,0,0,0,0,0,1,0,0
59,10,1,12395,3,6,1005,940,5,25,0,0,0,1,0,0,0,0,0,0,1
60,1,1,8366,6,6,1310,565,25,12,1,0,0,0,0,0,0,0,0,1,0
61,1,1,5117,4,3,565,365,20,27,0,1,0,0,0,0,0,0,1,0,0
62,6,1,12524,6,3,1140,525,15,10,0,1,0,0,0,0,0,0,1,0,0
63,3,1,7191,5,15,90,900,30,10,0,1,0,0,0,0,0,0,1,0,0
64,10,0,3687,5,24,560,425,15,2,0,0,0,0,1,0,0,1,0,0,0
65,3,1,5894,6,24,1260,635,25,10,0,1,0,0,0,0,0,0,1,0,0
66,10,0,5403,4,24,755,585,50,2,0,0,1,0,0,0,1,0,0,0,0
67,1,0,3625,5,6,925,835,30,1,0,0,0,1,0,0,0,0,0,0,1
68,1,2,10861,5,21,1155,355,20,13,0,1,0,0,0,0,0,0,1,0,0
69,3,0,6297,3,12,935,800,15,2,0,0,0,0,1,0,0,1,0,0,0
70,4,0,5678,6,1,510,425,25,1,0,0,0,1,0,0,0,0,0,0,1
71,4,1,9134,3,9,495,345,30,26,0,0,0,0,0,1,1,0,0,0,0
72,6,1,10791,6,24,1140,700,20,7,0,1,0,0,0,0,0,0,1,0,0
73,4,2,12819,6,24,755,1385,30,13,0,1,0,0,0,0,0,0,1,0,0
74,3,1,6893,3,21,605,305,0,5,0,1,0,0,0,0,0,0,1,0,0
75,10,0,7240,3,9,755,590,45,2,0,0,0,0,0,1,1,0,0,0,0
76,2,0,3898,4,3,870,700,50,2,0,0,1,0,0,0,1,0,0,0,0
77,3,0,4049,4,3,475,385,30,1,0,0,0,1,0,0,0,0,0,0,1
78,4,1,10262,6,15,755,1050,5,19,0,1,0,0,0,0,0,0,1,0,0
79,8,0,3332,3,21,635,500,15,2,0,0,0,0,1,0,0,1,0,0,0
80,4,1,10844,6,9,720,1270,50,14,1,0,0,0,0,0,0,0,0,1,0
81,4,0,7229,3,24,1355,1195,40,2,0,0,0,0,0,1,1,0,0,0,0
82,4,1,13941,5,6,280,390,10,22,1,0,0,0,0,0,0,0,0,1,0
83,3,1,5894,6,27,1260,685,35,9,0,1,0,0,0,0,0,0,1,0,0
84,6,1,10197,5,18,1140,540,0,10,0,1,0,0,0,0,0,0,1,0,0
85,4,1,13712,3,6,685,845,20,21,0,0,0,0,0,1,1,0,0,0,0
86,3,1,5636,6,24,445,120,25,5,0,1,0,0,0,0,0,0,1,0,0
87,4,2,13014,6,6,265,580,45,18,0,1,0,0,0,0,0,0,1,0,0
88,4,1,7064,4,1,1245,505,20,12,1,0,0,0,0,0,0,0,0,1,0
89,4,1,10703,5,24,865,1225,0,18,1,0,0,0,0,0,0,0,0,1,0
90,6,1,9646,5,27,1350,795,15,9,0,1,0,0,0,0,0,0,1,0,0
91,6,1,17057,3,6,800,135,5,11,0,1,0,0,0,0,0,0,1,0,0
92,4,1,13817,3,12,625,1015,30,17,0,0,0,0,0,1,1,0,0,0,0
93,1,2,13748,3,6,1155,355,20,13,0,1,0,0,0,0,0,0,1,0,0
94,1,0,4880,4,21,1400,1245,35,2,1,0,0,0,0,0,0,0,0,1,0
95,3,0,3540,6,21,460,315,25,2,0,0,0,0,1,0,0,1,0,0,0
96,8,0,3257,5,15,515,355,40,2,0,0,1,0,0,0,1,0,0,0,0
97,4,0,6478,6,3,1370,1190,0,3,0,0,1,0,0,0,1,0,0,0,0
